Local time,Open,High,Low,Close,Volume
27.02.2020 04:00:00.000 GMT+0200,1.29116,1.29358,1.29109,1.29292,20127.5801
27.02.2020 08:00:00.000 GMT+0200,1.29294,1.29462,1.29021,1.29029,34953.0297
27.02.2020 12:00:00.000 GMT+0200,1.29030,1.29171,1.28599,1.28954,54291.6797
27.02.2020 16:00:00.000 GMT+0200,1.28953,1.29021,1.28643,1.28838,56861.8506
27.02.2020 20:00:00.000 GMT+0200,1.28837,1.28949,1.28805,1.28839,21096.2597
28.02.2020 00:00:00.000 GMT+0200,1.28839,1.28961,1.28768,1.28895,19244.4302
28.02.2020 04:00:00.000 GMT+0200,1.28895,1.28897,1.28695,1.28869,22477.6103
28.02.2020 08:00:00.000 GMT+0200,1.28869,1.29195,1.28594,1.29043,51991.6705
28.02.2020 12:00:00.000 GMT+0200,1.29043,1.29070,1.28457,1.28556,50815.7901
28.02.2020 16:00:00.000 GMT+0200,1.28553,1.28564,1.27530,1.27610,69484.5497
28.02.2020 20:00:00.000 GMT+0200,1.27610,1.28326,1.27255,1.28125,41905.850099999996
02.03.2020 00:00:00.000 GMT+0200,1.27879,1.28271,1.27746,1.28154,26618.510000000002
02.03.2020 04:00:00.000 GMT+0200,1.28156,1.28373,1.28138,1.28259,25620.6001
02.03.2020 08:00:00.000 GMT+0200,1.28260,1.28503,1.27554,1.27652,64636.1504
02.03.2020 12:00:00.000 GMT+0200,1.27650,1.27989,1.27457,1.27732,60278.8701
02.03.2020 16:00:00.000 GMT+0200,1.27739,1.28247,1.27394,1.28087,61259.6699
02.03.2020 20:00:00.000 GMT+0200,1.28088,1.28132,1.27497,1.27518,26699.310100000002
03.03.2020 00:00:00.000 GMT+0200,1.27517,1.27769,1.27387,1.27661,17782.100000000002
03.03.2020 04:00:00.000 GMT+0200,1.27661,1.27854,1.27630,1.27815,21219.8599
03.03.2020 08:00:00.000 GMT+0200,1.27816,1.28128,1.27624,1.27796,51917.8316
03.03.2020 12:00:00.000 GMT+0200,1.27794,1.28151,1.27676,1.27937,62125.0889
03.03.2020 16:00:00.000 GMT+0200,1.27937,1.28438,1.27803,1.28105,84831.5391
03.03.2020 20:00:00.000 GMT+0200,1.28105,1.28172,1.27965,1.28125,31340.599799999996
04.03.2020 00:00:00.000 GMT+0200,1.28124,1.28302,1.28077,1.28188,17708.9601
04.03.2020 04:00:00.000 GMT+0200,1.28189,1.28257,1.28068,1.28120,11377.2002
04.03.2020 08:00:00.000 GMT+0200,1.28121,1.28162,1.27776,1.27834,37837.4704
04.03.2020 12:00:00.000 GMT+0200,1.27834,1.28322,1.27698,1.28291,54219.25
04.03.2020 16:00:00.000 GMT+0200,1.28291,1.28576,1.27999,1.28418,57845.5195
04.03.2020 20:00:00.000 GMT+0200,1.28418,1.28721,1.28418,1.28698,13255.1099
05.03.2020 00:00:00.000 GMT+0200,1.28698,1.28746,1.28603,1.28645,10766.640200000002
05.03.2020 04:00:00.000 GMT+0200,1.28645,1.28791,1.28634,1.28766,8391.5501
05.03.2020 08:00:00.000 GMT+0200,1.28765,1.29229,1.28667,1.29191,32731.200599999996
05.03.2020 12:00:00.000 GMT+0200,1.29191,1.29361,1.28998,1.29190,47940.3399
05.03.2020 16:00:00.000 GMT+0200,1.29184,1.29465,1.29048,1.29392,47866.2705
05.03.2020 20:00:00.000 GMT+0200,1.29391,1.29683,1.29310,1.29485,19983.3501
06.03.2020 00:00:00.000 GMT+0200,1.29474,1.29643,1.29453,1.29632,17177.440300000002
06.03.2020 04:00:00.000 GMT+0200,1.29631,1.29652,1.29506,1.29523,15312.159899999999
06.03.2020 08:00:00.000 GMT+0200,1.29523,1.29980,1.29489,1.29882,50332.2084
06.03.2020 12:00:00.000 GMT+0200,1.29881,1.30260,1.29852,1.29956,73386.72949999999
06.03.2020 16:00:00.000 GMT+0200,1.29953,1.30490,1.29907,1.30029,79004.9297
06.03.2020 20:00:00.000 GMT+0200,1.30030,1.30517,1.29934,1.30459,31614.880899999996
08.03.2020 23:00:00.000 GMT+0200,1.30726,1.31053,1.30662,1.30723,24401.1702
09.03.2020 03:00:00.000 GMT+0200,1.30722,1.31247,1.30601,1.30698,44155.6498
09.03.2020 07:00:00.000 GMT+0200,1.30697,1.32003,1.30342,1.31428,67436.4609
